Product,Product Type Extension,Vendor,Effective,Remarks
Ham-- Honey-Baked John,Meat N/A John Morrell,,3/1/03,For on-site feeding only (John
Morrell,,,,Morrell hams only)
"Ham, whole cooked",Meats indefinitely N/A,,12/23/03,Until product appears bad
(Frozen),,,,
Ham-boneless (frozen),Meats indefinitely N/A,,6/1/97,Until product appears bad
Ham-canned,Meats 9 months N/A,,12/23/03,
(refrigerated),,,,
Herbs- dried,Baking 2 years N/A,,12/23/03,
"",Ingredients,,,
Horseradish & Chutney,Condiments 12 months N/A,,12/23/03,
sauces,,,,
"Hot Chocolate, Cappucino",Beverages 60 days Kraft,,3/1/03,Kraft products only
Kraft,,,,
"Hot Dogs (Oscar Meyer,",Meats 60 days Kraft,,3/1/03,Kraft products only
Louis Rich),,,,
Hot Dogs (sealed in,Meats indefinitely N/A,,12/23/03,Until product appears bad
package) (Frozen),,,,
Ice cream,Desserts 4 months N/A,,12/23/03,
Ice cream cones Keebler,snacks 4 months Keebler,,3/7/03,Keebler only
Ice Cream Cones Keebler,Snacks 4 months Keebler,,3/7/03,Keebler only
Infant Formula,Baby food 0 days Nestle's,,3/1/03,"Good Start, Follow-up and"
"",,,,Carnation Alsoy brands
Jello (ready to eat),Desserts 30 days Kraft,,3/1/03,Kraft products only
Jelly & Jams,Condiments 12 months N/A,,12/23/03,
Juice- Knudsen Sparkling,Beverages 2 yrs,,,2 yrs from manufacture
Juices - canned,Beverages 18 months N/A,,12/23/03,
Juicy Juice (cans),Beverages 12 months Nestle's,,3/1/03,
Juicy Juice (little boxes),Beverages 3 months Nestle's,,3/16/03,Offer # N160056 of 3/15/05
"",,,,showed 6 months ext
JuicyJuice (bottles),Beverages 6 months Nestle's,,5/24/04,
Ketchup,Condiments 18 months N/A,,6/1/97,
Product Product Type Extension,,Vendor,Effective,Remarks
"",period,,Date,
Kraft Meals,Entrees 60 days,Kraft,3/1/03,Kraft products only
(Lunchbreaks),,,,
Lamb  (frozen),Meats indefinitely,N/A,12/23/03,Until product appears bad
Lemon Juice (frozen,Beverages 18 months,N/A,6/1/97,
concentrate),,,,
"Lentils, dried",Legumes 12 months,N/A,12/23/03,
Liquid Marinade and Stir,Baking 1 year,Unilever,1/19/06,"Lawry's only, 3 month"
"Fry, Lawry",Ingredients,Bestfoods,,extension - Network
"",,,,"Connection - Volume 2,"
"",,,,Issue 3
"Liver, tongue, chitterlings",Meats indefinitely,N/A,12/23/03,Until product appears bad
(Variety meats)  (frozen),,,,
Lobster tails,Seafood 3 months,N/A,12/23/03,
Lunch Meats (sealed in,Meats indefinitely,N/A,12/23/03,Until product appears bad
package) (Frozen),,,,
Lunchables (Oscar Mayer),Meats 60 days,Kraft,3/1/03,Lunchables containing can
"",,,,drinks cannot be frozen
Luncheon meat (canned),Meats 36 months,N/A,6/1/97,
M&M and Mars,Candy 4 weeks,M&M and,3/1/03,M&M and Mars only
"",,Mars,,
Mac n' cheese & Liquid,Entrees 60 days,Kraft,3/1/03,Kraft products only
Dinners Kraft Dinners,,,,
Macaroni/Spaghetti,Breads & Cereal 36 months,N/A,6/1/97,
Margarine,Dairy 5 months,N/A,12/23/03,12 months frozen
Marshmallows,Desserts 4 months,N/A,12/23/03,
"Mayo, Miracle Whip,",Condiments 60 days,Kraft,3/1/03,Kraft products only
Sauceworks Kraft,,,,
Mayonnaise,Condiments 3 months,N/A,12/23/03,
