,Ingredient,Average retail price,Unit,Refrigerator Storage,Freezer Storage
150,plum tomatoes tomatoes diced,1.83,per pound,1 week,8-12 months
151,italian plum tomatoes,1.83,per pound,1 week,8-12 months
152,"plum tomatoes, seeded, cut into 1/4-inch pieces",1.83,per pound,1 week,8-12 months
153,"plum tomatoes, drained, reserving juice",1.83,per pound,1 week,8-12 months
154,tomatoes plum tomatoes,1.83,per pound,1 week,8-12 months
155,plum tomatoes tomatoes chopped,1.83,per pound,1 week,8-12 months
156,red heirloom plum tomatoes,1.83,per pound,1 week,8-12 months
157,lb ripe plum tomatoes,1.83,per pound,1 week,8-12 months
158,"plum tomatoes, drained, seeded, and diced",1.83,per pound,1 week,8-12 months
159,iceberg lettuce tomatoes cheddar cheese,1.21,per pound,1 week,8-12 months
160,tomatoes celery sticks,2.20,per pound,1 week,8-12 months
161,lb beefsteak tomatoes,3.16,per pound,1 week,8-12 months
162,medium beefsteak tomatoes,3.16,per pound,1 week,8-12 months
163,yellow beefsteak tomatoes,3.16,per pound,1 week,8-12 months
164,large beefsteak tomatoes,3.16,per pound,1 week,8-12 months
165,beefsteak tomatoes,3.16,per pound,1 week,8-12 months
166,tomatoes with green peppers,1.41,per pound,1 week,8-12 months
167,roma tomatoes,1.24,per pound,1 week,8-12 months
168,lb roma tomatoes,1.24,per pound,1 week,8-12 months
169,pearled barley,1.46,per pound,2 years,
170,pearl barley,1.46,per pound,2 years,
171,"vegetables cauliflower, carrots, and pearl onions",1.46,per pound,1 week,8-12 months
172,accompaniment: potato cauliflower,0.56,per pound,1 week,8-12 months
173,cauliflower florets,3.27,per pound,1 week,8-12 months
174,lb jerusalem artichokes,2.21,per pound,2-3 days,Freeze poorly
175,"grilled lemons, baby artichokes",2.21,per pound,2-3 days,Freeze poorly
176,lb/455 g jerusalem artichokes,2.21,per pound,2-3 days,Freeze poorly
177,large artichokes,2.21,per pound,2-3 days,Freeze poorly
178,jerusalem artichokes*,2.21,per pound,2-3 days,Freeze poorly
179,"artichokes artichoke hearts, thawed",2.21,per pound,2-3 days,Freeze poorly
180,special equipment: a 6- to 8-qt heavy pot wide enough to hold artichokes,2.21,per pound,2-3 days,Freeze poorly
181,jerusalem artichokes,2.21,per pound,2-3 days,Freeze poorly
182,ingredient info: jerusalem artichokes,2.21,per pound,2-3 days,Freeze poorly
183,"baby artichokes, 6 globe artichokes artichoke hearts",2.21,per pound,2-3 days,Freeze poorly
184,lb artichokes,2.21,per pound,2-3 days,Freeze poorly
185,purple artichokes,2.21,per pound,2-3 days,Freeze poorly
186,jar marinated artichokes,2.21,per pound,2-3 days,Freeze poorly
187,artichokes,2.21,per pound,2-3 days,Freeze poorly
188,jerusalem artichokes *,2.21,per pound,2-3 days,Freeze poorly
189,baby artichokes,2.21,per pound,2-3 days,Freeze poorly
190,globe artichokes,2.21,per pound,2-3 days,Freeze poorly
191,relishes watermelon bell peppers,0.33,per pound,1 week,8-12 months
192,red cherry peppers red chilies,3.59.per pound,0.92,1 week,8-12 months
193,pickled cherry peppers,3.59.per pound,0.92,1 week,8-12 months
194,cherry peppers peppers,3.59.per pound,0.92,1 week,8-12 months
195,hot cherry peppers,3.59.per pound,0.92,1 week,8-12 months
196,cherry peppers,3.59.per pound,0.92,1 week,8-12 months
197,onions and bell peppers,1.04,per pound,1 week,8-12 months
198,"orange, and red bell peppers",1.04,per pound,1 week,8-12 months
199,bell peppers orange peppers,1.04,per pound,1 week,8-12 months
